148032745,106220289,21357434,259026,133166,3045093200
148364746,103825509,1496277,284173,25696,3045093200
137039746,104483406,1494763,303832,26503,3126050448
141207220,100124016,1463200,326430,27714,3129089856
129745678,95884505,1407767,358105,29605,3127359216
132061632,90695209,1342115,409635,33185,3108956144
117288968,87367034,1320453,553189,40621,3120392928
124092979,79918835,1254497,819714,53111,3153097600
102161264,69547238,1157028,1050825,65823,3232219056
88194547,64395165,1067679,1353574,134677,3396324544
2243,591,921,76329,56,341728
2409,666,1394,94,48,341728
2423,653,1404,100,37403,341728
2393,685,1438,59,763214,341728
2440,659,1544,56,759506,341728
2342,765,1535,88,32457,341728
2195,617,874,64,93,341728
138231539,104879378,1507949,285753,33332,3045093200
147807925,105032484,1500171,369083,32976,3045093200
3275,697,1306,8,5,131104
5381,577,1004,31,8,262736
5128,610,998,28,4,262736
5463,610,1575,62,10,262736
38680,13264,1260,285,59,3409232
483290,236618,5348,3248,292,33570016
8739835,5608410,86329,32236,2545,268566464
139784613,106341230,1526507,286992,26674,3045093200
134094262,99320013,1459531,530680,41670,4461794448
131638080,97413397,1419031,458954,37027,3993681168
175676462,92599569,1339758,253288,21766,2342524848
181337961,93001399,1344536,255047,21694,2342524848
175332504,92537802,1342509,254528,21785,2342524848
